beat,position,pitch,duration,program
0,2,62,1,6
0,3,64,1,6
0,4,66,2,6
0,6,67,2,6
0,8,69,1,6
0,9,70,1,6
0,10,67,2,6
1,0,69,2,6
1,2,67,1,6
1,3,66,1,6
1,4,64,2,6
1,6,62,2,6
1,8,72,1,6
1,9,70,1,6
1,10,69,2,6
2,0,67,2,6
2,2,65,1,6
2,3,64,1,6
2,4,62,2,6
2,6,60,2,6
2,8,70,1,6
2,9,69,1,6
2,10,67,2,6
3,0,74,2,6
3,2,72,1,6
3,3,70,1,6
3,4,74,2,6
3,6,72,2,6
3,8,70,1,6
3,9,69,1,6
3,10,72,2,6
4,0,70,2,6
4,2,69,1,6
4,3,67,1,6
4,4,69,2,6
4,6,70,2,6
4,8,72,1,6
4,9,74,1,6
4,10,76,2,6
5,0,77,3,6
5,3,74,3,6
5,9,74,3,6
6,0,75,2,6
6,2,74,1,6
6,3,72,1,6
6,4,74,2,6
6,6,75,3,6
6,9,76,3,6
7,0,77,2,6
7,2,76,1,6
7,3,74,1,6
7,4,76,2,6
7,6,77,3,6
7,9,78,3,6
8,0,79,3,6
8,3,74,1,6
8,4,72,2,6
8,6,74,2,6
8,8,75,1,6
8,9,77,1,6
8,10,74,2,6
9,0,75,2,6
9,2,74,1,6
9,3,72,1,6
9,4,70,2,6
9,6,69,2,6
9,8,79,1,6
9,9,77,1,6
9,10,75,2,6
10,0,74,2,6
10,2,72,1,6
10,3,74,1,6
10,4,76,2,6
10,6,77,2,6
10,8,79,1,6
10,9,81,1,6
10,10,77,2,6
11,0,79,2,6
11,2,77,1,6
11,3,76,1,6
11,4,74,2,6
11,6,73,2,6
11,8,82,1,6
11,9,81,1,6
11,10,79,2,6
12,0,77,8,6
12,8,79,1,6
12,9,81,1,6
12,10,82,2,6
13,0,73,2,6
13,2,74,1,6
13,3,76,1,6
13,4,74,2,6
13,6,73,3,6
13,9,72,3,6
14,0,71,2,6
14,2,72,1,6
14,3,74,1,6
14,4,72,2,6
14,6,71,3,6
14,9,70,3,6
15,0,69,3,6
15,3,74,6,6
15,9,73,3,6
16,0,69,3,6
16,3,77,6,6
16,9,76,3,6
17,0,69,3,6
17,3,81,6,6
17,9,79,6,6
18,3,77,1,6
18,4,76,2,6
18,6,77,2,6
18,8,74,1,6
18,9,76,1,6
18,10,73,2,6
19,0,74,4,6
19,4,76,2,6
19,6,76,4,6
19,10,74,2,6
20,0,74,3,6
20,3,72,1,6
20,4,70,2,6
20,6,69,2,6
20,8,70,1,6
20,9,72,1,6
20,10,69,2,6
21,0,70,2,6
21,2,69,1,6
21,3,67,1,6
21,4,65,2,6
21,6,64,2,6
21,8,74,1,6
21,9,72,1,6
21,10,70,2,6
22,0,69,2,6
22,2,67,1,6
22,3,69,1,6
22,4,71,2,6
22,6,72,8,6
23,2,69,1,6
23,3,71,1,6
23,4,72,2,6
23,6,74,8,6
24,2,67,1,6
24,3,69,1,6
24,4,71,2,6
24,6,72,2,6
24,8,74,1,6
24,9,75,1,6
24,10,72,2,6
25,0,74,2,6
25,2,72,1,6
25,3,71,1,6
25,4,69,2,6
25,6,67,2,6
25,8,77,1,6
25,9,75,1,6
25,10,74,2,6
26,0,72,2,6
26,2,70,1,6
26,3,68,1,6
26,4,67,2,6
26,6,65,2,6
26,8,75,1,6
26,9,74,1,6
26,10,72,2,6
27,0,79,2,6
27,2,77,1,6
27,3,75,1,6
27,4,79,2,6
27,6,77,2,6
27,8,75,1,6
27,9,74,1,6
27,10,77,2,6
28,0,75,2,6
28,2,74,1,6
28,3,72,1,6
28,4,74,2,6
28,6,75,2,6
28,8,77,1,6
28,9,79,1,6
28,10,80,2,6
29,0,71,3,6
29,3,74,3,6
29,9,65,3,6
30,0,63,3,6
30,3,72,3,6
30,6,62,3,6
30,9,71,3,6
31,0,72,2,6
31,2,67,1,6
31,3,72,1,6
31,4,74,2,6
31,6,75,8,6
32,2,72,1,6
32,3,74,1,6
32,4,75,2,6
32,6,77,9,6
33,3,75,1,6
33,4,74,2,6
33,6,79,4,6
33,10,77,2,6
34,0,75,2,6
34,2,74,1,6
34,3,72,1,6
34,4,70,2,6
34,6,69,2,6
34,8,67,1,6
34,9,66,1,6
34,10,69,2,6
35,0,63,2,6
35,2,62,1,6
35,3,64,1,6
35,4,66,2,6
35,6,67,2,6
35,8,69,1,6
35,9,70,1,6
35,10,67,2,6
36,0,69,2,6
36,2,67,1,6
36,3,66,1,6
36,4,64,2,6
36,6,62,2,6
36,8,72,1,6
36,9,70,1,6
36,10,69,2,6
37,0,67,2,6
37,2,65,1,6
37,3,64,1,6
37,4,62,2,6
37,6,60,2,6
37,8,70,1,6
37,9,69,1,6
37,10,67,2,6
38,0,74,2,6
38,2,72,1,6
38,3,70,1,6
38,4,74,2,6
38,6,72,2,6
38,8,70,1,6
38,9,69,1,6
38,10,72,2,6
39,0,70,2,6
39,2,69,1,6
39,3,67,1,6
39,4,70,2,6
39,6,69,2,6
39,8,67,1,6
39,9,66,1,6
39,10,69,2,6
40,0,67,2,6
40,2,69,1,6
40,3,70,1,6
40,4,72,2,6
40,6,74,2,6
40,8,76,1,6
40,9,78,1,6
40,10,79,2,6
41,0,81,2,6
41,2,78,1,6
41,3,79,1,6
41,4,81,2,6
41,6,74,8,6
42,2,72,1,6
42,3,75,1,6
42,4,74,2,6
42,6,72,2,6
42,8,70,1,6
42,9,69,1,6
42,10,72,2,6
43,0,66,2,6
43,2,69,1,6
43,3,70,1,6
43,4,69,2,6
43,6,67,2,6
43,8,65,1,6
43,9,63,1,6
43,10,67,2,6
44,0,61,2,6
44,2,67,1,6
44,3,69,1,6
44,4,70,2,6
44,6,62,2,6
44,8,69,1,6
44,9,67,1,6
44,10,66,2,6
45,0,67,12,6
